"class","Alcohol","Malic_acid","Ash","Alcalinity_of_ash","Magnesium","Total_phenols","Flavanoids","Nonflavanoid_phenols","Proanthocyanins","Color_intensity","Hue","Od_Hod_of_diluted_wines","Proline"
1,13.761443,0.97296,2.191146,14.349954,106.525734,2.28858,2.584551,0.418044,1.862804,3.086808,1.169861,2.819086,850.678431
2,11.897923,1.29778,2.199666,17.478054,104.205421,2.716657,1.855066,0.318077,1.02964,9.103668,1.353718,2.780333,332.922006
3,12.659632,1.748552,2.438597,21.584696,88.079451,1.919476,0.681341,0.538078,1.327974,8.803633,0.643678,1.569951,633.531687
1,13.054828,1.817559,1.893926,15.390157,108.589893,2.662509,2.815723,0.278535,1.473812,6.386732,0.820398,3.694865,880.103325
3,11.769431,3.017528,3.013448,17.081528,86.525235,2.224963,0.846229,0.286065,1.644007,10.383464,0.734288,2.747013,475.152492
3,12.561898,1.072468,2.289096,16.178492,143.097929,1.322447,0.546074,0.363814,1.29253,1.998026,0.684318,2.427139,965.705496
2,12.323194,1.89145,2.511648,21.647538,80.71951,2.010391,1.427322,0.312309,1.218217,2.561314,0.977267,2.12819,527.40968
2,11.788026,2.489249,2.23517,20.939465,98.548638,1.101391,1.75118,0.351553,2.706945,2.013674,1.242601,2.78372,397.668447
1,14.067198,1.735992,2.297139,24.212729,137.240746,2.71754,3.294299,0.324792,2.097848,5.177485,1.336739,2.737432,1068.471128
3,13.748664,2.649201,2.873692,20.565244,114.027992,1.779626,0.74564,0.557089,0.81782,4.631893,0.929179,2.088189,554.119074
2,12.575717,1.702029,2.232321,24.081996,87.890158,2.350307,2.285017,0.260441,1.855605,2.606957,0.950892,2.355651,393.74887
2,12.253629,1.674207,2.597891,17.094966,96.057568,3.523049,3.843988,0.339451,1.822003,3.194693,1.361576,2.864249,313.791116
1,14.328455,1.698104,2.133599,18.49495,123.572716,2.800089,2.947313,0.474093,2.172325,5.9356,1.094929,3.008209,1392.758082
1,13.777211,1.581476,2.552971,16.852568,90.703689,3.502309,2.746813,0.281893,1.543372,6.485892,1.322088,3.031257,1228.541025
3,12.999234,5.036504,2.256352,19.858804,98.600922,2.139737,1.316308,0.194424,1.436613,2.850799,1.105497,1.525847,524.74403
1,13.11936,1.594597,1.856146,17.050224,92.618021,3.33501,0.861252,0.262584,1.019159,6.016952,1.100406,3.612373,872.414799
1,14.063785,4.69003,2.561198,14.159089,98.5604,2.890214,3.410519,0.32731,2.577729,4.612728,1.267804,3.502265,1041.787129
2,12.85412,1.568508,1.855649,18.354569,80.828723,2.259841,1.89833,0.60767,2.301459,2.086075,0.988735,1.928222,479.805983
2,11.647589,1.606644,1.967681,17.582023,89.286862,1.819178,1.939929,0.576166,1.402973,2.771018,1.247273,2.6832,362.393122
1,14.110863,1.745735,2.67312,18.795449,106.690468,3.022283,1.530984,0.199936,1.580322,4.987034,0.962555,3.01641,894.397765
1,11.987535,4.991851,2.342037,13.129265,101.501651,2.27231,0.697923,0.255876,1.272614,5.50338,0.933703,2.913515,812.437118
2,11.684759,3.205619,2.810992,13.849342,101.206121,2.572022,2.757908,0.549901,1.670321,6.03079,1.315739,2.434848,474.421832
1,13.550672,1.900725,2.397466,19.767635,107.290452,2.503238,2.528753,0.330043,1.959589,4.73986,1.090021,3.380493,961.065395
1,14.38522,3.002148,2.16653,14.66613,104.916461,1.327041,2.168858,0.270411,1.598885,8.543826,1.093011,3.217592,1270.290905
3,12.480803,3.957887,2.568893,29.278506,109.119226,1.662043,1.054429,0.233841,1.177752,6.346621,0.888334,2.209622,503.554427
3,12.012753,3.62018,2.366032,17.986134,136.329922,3.041391,2.590352,0.307917,1.795111,8.562857,0.663283,1.384661,431.693469
1,14.188541,3.198704,2.490638,16.25423,139.599643,3.292254,2.041961,0.180142,1.770223,6.087444,1.072792,2.738577,1365.997866
1,13.424645,4.074711,2.378639,13.796474,100.541907,2.775786,2.787097,0.378919,1.833223,5.108483,0.927169,2.755368,872.781219
2,13.518648,1.183191,2.515672,21.471004,88.188254,3.11317,3.506582,0.292159,2.205501,3.38524,1.126388,3.140324,420.805585
3,12.888859,1.030708,2.225931,19.668589,120.568209,2.038902,0.637985,0.311259,0.868184,7.265344,0.647382,1.626132,712.530452
2,11.922794,1.692244,2.424331,25.848309,88.148535,1.693024,1.245889,0.607486,1.492585,2.532846,1.228612,2.872367,729.516328
1,13.156044,1.218035,2.377179,20.327618,100.340963,1.527629,3.798361,0.290753,2.379362,8.756468,0.79173,3.481277,749.520585
3,13.554963,3.55437,2.301315,24.686259,127.317027,2.091811,3.189884,0.173053,2.188834,10.22514,0.807104,1.468266,492.957295
3,14.458111,4.175973,2.376904,28.874749,101.217413,1.522523,0.50184,0.602595,0.631139,8.277223,0.825022,1.729987,504.827273
2,12.422787,3.658127,2.544852,20.205349,107.159659,1.437867,1.964057,0.389321,0.721666,6.015206,0.947449,3.269845,520.398792
1,14.437766,1.724932,2.255319,14.924052,103.652934,2.225253,1.839969,0.269744,3.175132,5.907416,1.232266,3.638561,941.778765
1,13.958083,1.643496,2.036047,16.357086,90.034082,2.586819,2.744089,0.335817,1.976757,7.069028,1.074524,3.329992,1035.32702
2,11.773685,1.106538,2.118514,22.251278,77.76371,2.234171,2.06506,0.572117,1.609403,2.312983,0.738566,1.961506,522.239381
2,11.826918,1.669044,2.335725,18.023532,85.679344,2.686086,2.220399,0.451684,1.393843,2.56683,1.024155,3.11463,452.134329
2,11.66002,1.285119,2.499228,17.321553,98.996123,2.615253,2.887142,0.278201,1.980062,3.36114,1.19135,3.508762,360.372074
1,13.527793,1.550725,2.798251,17.299817,99.335461,2.613387,1.289312,0.198479,0.945979,4.875825,1.098388,3.671959,1009.884739
1,14.321709,1.966633,2.425902,16.340521,138.311403,3.178932,3.030388,0.25841,1.55769,4.767494,1.067846,3.651025,1139.244993
3,14.369728,1.735436,2.825913,25.081255,83.981806,2.510128,1.073061,0.255037,1.524435,3.529066,0.846382,1.550002,428.632852
1,13.353147,3.215587,2.062694,17.952999,107.025899,2.920564,2.913307,0.266251,1.26274,2.984963,0.828997,3.312049,836.360035
2,11.744658,3.088168,2.296837,20.653348,106.948726,3.084849,2.167862,0.412545,1.922025,3.018073,0.952014,3.276282,756.048668
2,13.480047,0.865563,2.322125,17.674956,97.584828,3.095149,3.562218,0.307561,2.858832,4.718112,1.074243,2.268452,785.003161
1,13.916583,2.164778,2.477778,21.593294,121.406069,2.248102,2.726374,0.226786,1.272227,6.728975,0.981392,3.60644,1438.419072
2,12.290417,3.992927,2.240017,17.977773,87.980533,1.953009,0.565788,0.200526,0.273961,5.092576,0.805799,2.792494,535.860566
1,13.843758,1.597939,2.683331,19.239848,99.141236,3.544207,2.812524,0.341836,1.595046,6.573381,0.889883,3.152539,1225.625253
1,13.023875,1.571779,2.693314,23.128166,91.312542,2.839332,2.781709,0.254049,1.275767,5.220313,1.083755,3.014617,978.92875
1,13.63629,1.859296,2.383209,14.62942,99.851795,3.165963,3.532246,0.325191,1.61762,4.56426,1.292623,3.569951,1271.087531
2,12.044116,3.839951,1.984373,19.068939,101.980005,1.765717,1.253791,0.288818,1.256841,2.381785,0.89664,3.159549,482.414892
3,12.772326,2.394064,2.854245,21.825894,104.968786,1.602162,2.793947,0.31387,2.460666,6.018232,0.906256,1.944353,482.372611
3,13.109744,4.321225,2.415023,18.603556,127.594586,1.389691,0.632215,0.410157,1.020054,5.897758,0.860034,1.998057,481.741809
1,13.898391,1.566303,2.601286,18.338692,125.168022,3.367987,3.631515,0.155546,2.31584,6.045039,1.135111,3.066592,1320.017207
1,12.964331,1.916756,2.753719,26.407715,131.016668,2.957892,3.179198,0.213687,1.664608,6.281472,0.998707,3.537018,782.146979
2,12.437242,1.826429,2.302449,21.866129,96.929143,2.222251,2.001771,0.259055,1.37525,4.31661,0.915656,2.636734,375.095283
2,12.506152,4.212924,2.272042,23.019463,88.170049,1.200914,2.893486,0.209151,2.765504,2.584645,0.943686,1.841628,477.699239
1,13.518696,1.968394,2.306028,26.889704,109.826311,2.805713,2.208326,0.257116,1.394276,5.131628,1.06805,3.260708,974.712901
2,12.146516,0.968372,2.458423,19.11905,88.661926,2.188413,2.0869,0.25116,1.489704,4.979775,1.103951,3.451513,367.40239
1,13.137131,4.018075,2.176482,19.859494,106.369829,2.821088,1.295089,0.321141,1.213436,4.907549,0.874196,2.468824,693.698367
1,14.4664,1.640698,1.752772,17.33043,107.990775,2.945381,3.576471,0.300088,2.808439,8.555908,1.013194,2.745239,1237.87034
